ID,Accession Number,Collection Name,COLOR,Height_Value,Length_Value,Width_Value,cm,Weight_Value,g,Description,Place1,Place2,Place3,Place4,Place5,Place6,Place7,Place8,E4Period,Period2,Period3,Period4,IMG,TimeSpan
754,1680,,,,87.5,,,,,"String of 344 black and blue coloured glaze beads, and one complete shell.", Diospolis Parva (Hiw), Upper Egypt, Egypt,Africa,,,,,,,,,,
753,1909.386,,,,,,,,,Roman stone altar,,,,,,,,,,,,,,
752,1959.3,Mesopotamian,,,25.5,,,,,"String of beads.1 silver,5 carnelian(4 tubular,1 ball),9 lapis,2 white stone,1 short barrel(white with black lines).BM:U.19200", Royal cemetery, Ur, Iraq (Mesopotamia),Asia,,,,,,,,,,
751,1959.31,Mesopotamian,,,49.5,,,,,"String of beads.91 lapis:barrel,2 carnelian:spacer.", Royal cemetery, Ur, Iraq (Mesopotamia),Asia,,,,,,,,,,
750,1959.32,Mesopotamian,,,10.5,,,,,"String of beads.1 turquoise,14 lapis,3 carnelian", Royal cemetery, Ur, Iraq (Mesopotamia),Asia,,,,,,,,,,
749,1959.34,Mesopotamian,,,24.1,,,,,String of beads.65 carnelian., Royal cemetery, Ur, Iraq (Mesopotamia),Asia,,,,,,,,,,
748,1963.174,Flints,,2.3,13,5.4,,278,,Jadeite axehead, Brittany, France,Europe,,,,,,,,,,,
747,1964.4,,,,14.7,5.3,,52,,"Bronze finial, 1st mill BC?", Luristan, Iran,Asia,,,,,,,,,,,
746,1965.1,,,,55,5.5,,574,,"Bronze spear head, 1st mill BC?", Luristan, Iran,Asia,,,,,,,,,,,
745,1965.12,Bronzes,,,13.5,14.5,,295,,Bronze torque with incised decoration. Drill hole visible., Luristan, Iran,Asia,,,,,,,,,,,
744,1965.15,,,,9.5,4.5,,22,,"Bronze butt end of spear, 1st mill BC?  Stripped with caustic and citric acid and washed.", Luristan, Iran,Asia,,,,,,,,,,,
743,1965.17,,,,6.5,1.5,,4,,"Bronze arrow head, 1st mill BC?  Stripped with caustic and citric acid and washed.", Luristan, Iran,Asia,,,,,,,,,,,
742,1965.19,Bronzes,,,,,,15,,"Bronze ring with engraved bezel, possibly 1st millennium BC, possibly from Luristan.", Luristan, Iran,Asia,,,,,,,,,,,
741,1965.2,Bronzes,,,,,,8,,"Bronze ring, possibly 1st millennium BC, possibly from Luristan.", Luristan, Iran,Asia,,,,,,,,,,,
740,1965.22,Bronzes,,,,,,6,,"Bronze ring, possibly 1st millennium BC, possibly from Luristan.", Luristan, Iran,Asia,,,,,,,,,,,
739,1965.24,Bronzes,,,15.9,,,14,,Beading near head., Luristan, Iran,Asia,,,,,,,,,,,
738,1965.5,,,5,33,,,2759,,"Bronze dagger, 1st mill BC?  Stripped with caustic and citric acid and washed.", Luristan, Iran,Asia,,,,,,,,,,,
737,1965.6,,,,50,4,,187,,"Bronze spear head, 1st mill BC?  Stripped with caustic and citric acid and washed.", Luristan, Iran,Asia,,,,,,,,,,,
736,1965.7,,,,47,5.5,,246,,"Bronze short sword, 1st mill BC?", Luristan, Iran,Asia,,,,,,,,,,,
735,1966.1,,,5.3,7.6,,,53,,A fragmentary ivory plaque. Carved in high relief with cow suckling her bull calf. The cow's body is pointed towards the left but her head is turned back to lick the tail of her young. Both the upper and lower frames of the piece have been badly damaged and the outward legs of both cow and calf are missing. The eyes of both animals have been drilled for inlay of which all trace has gone. The thickness of the lower edge bears a pair of closely spaced drill marks. 7th century BC., Nimrud, Iraq,Asia,,,,,,,,,,,
734,1966.2,,,6,,4.5,,19,,A fragmentary ivory relief plaque.  7th century BC., Nimrud, Iraq,Asia,,,,,,,,,,,
733,1966.3,,,3.7,,3.5,,10,,"A small ivory plaque carved with female head in high relief. From a composite 'Lady at the Window' plaque. A fragment is missing from the top right-hand corner. The woman wears an Egyptian-style wig on top of which is a small, flat, circular cap from which a retangular ornament with four pendants hangs down over the forehead. She also wears a pair of earrings, each with three droplets. The pupils of the woman's eyes have been drilled for inlay.", Nimrud, Iraq,Asia,,,,,,,,,,,
732,1966.4,,,4,,3.1,,6,,"A lion's mask of ivory. The eyes and a solar disc on the crown of the head were formerly inlaid, but all trace of the inlay has disappeared. The solar disc is accentuated by two incised lines on either side, while the wiskers on the lion's muzzle are rendered by incised dots. Small surface fragments are missing between the lion's eyes and from his muzzle. 7th century BC..", Nimrud, Iraq,Asia,,,,,,,,,,,
731,1970.7,,,79,,14,,,,"Roman pottery amphora, probably 5th - 6th century AD, spatheion type. Coarse ware, covered with a thick marine deposit, including bryozoa, round coral (carophyllium) and worm tubes (vermetus and serpula). Tip of foot missing", found in sea off Marsa Lucch, Badia, East Cyrenaica, Libya,Africa,,,,,,,,,
730,1970.88,,,106,,109,,,,"Plaster cast of slab XXI, B287, N. side, centre, young armed man offering helmet to bearded man (from Harpy Tomb at Xanthus).", Harpy Tomb, Xanthos, Lycia, Turkey,Asia,,,,,,,,,
729,1970.9,,,105,,63,,,,"Plaster cast of slab XXIII, B287, E. side, S. end, draped figure (from Harpy Tomb at Xanthus).", Harpy Tomb, Xanthos, Lycia, Turkey,Asia,,,,,,,,,
728,1970.92,,,104,,54,,,,"Plaster cast of slab XXIV, B287, W. side, N. end, enthrones woman facing centre (from Harpy Tomb at Xanthus).", Harpy Tomb, Xanthos, Lycia, Turkey,Asia,,,,,,,,,
727,1970.93,,,49,,46,,,,"Plaster cast of slab XXIV, B287, W. side, door lintel, ecow suckling calf (from Harpy Tomb at Xanthus).", Harpy Tomb, Xanthos, Lycia, Turkey,Asia,,,,,,,,,
726,1974.209,,,,,,,,,"Coarse sherds.  Includes 13 rims, 2 bases, 1 handle and flagon neck.", Deansgate, Manchester, Greater Manchester, England, United Kingdom,Europe,,,,,,,,
725,1974.211,,,,,,,,,Coarse sherds.  Includes 15 rims and 2 bases., Deansgate, Manchester, Greater Manchester, England, United Kingdom,Europe,,,,,,,,
724,1974.428,,,,,,,,,Bag of slag, Deansgate, Manchester, Greater Manchester, England, United Kingdom,Europe,,,,,,,,
723,1974.652,,,0.8,5.5,1.7,,19.7,,Lead rod with knob at one end. Part nearest rod is of square cross-section and this gives way to a twisted portion., Deansgate, Manchester, Greater Manchester, England, United Kingdom,Europe,,,,,,,,
722,1974.676,,,,4.1,3.5,,14.3,,Lead fragment crescent shaped, Deansgate, Manchester, Greater Manchester, England, United Kingdom,Europe,,,,,,,,
721,1974.746,,,1.2,3.1,1.6,,12.5,,"Stone object, shaped like knucklebone and used for game", Deansgate, Manchester, Greater Manchester, England, United Kingdom,Europe,,,,,,,,
720,1974.868,,,1,8.7,9.8,,101.6,,"pot with grafitti, body sherd, biscuit fabric", Deansgate, Manchester, Greater Manchester, England, United Kingdom,Europe,,,,,,,,
